Hours,HPHtgLd_W,HPClgLd_W,,
0,0,0,,
1,102058.4,0,,
2,110479.9,0,,
3,101812.8,0,,
4,111368,0,,
5,102630.6,0,,
6,112261.5,0,,
7,103352.7,0,,
8,112729,0,,
9,98884.5,0,,
10,99330.9,0,,
11,86063.7,0,,
12,88104.3,0,,
13,77548.2,0,,
14,83929.1,0,,
15,79221.2,0,,
16,91601.8,0,,
17,90519.6,0,,
18,103062.5,0,,
19,97966.7,0,,
20,110683.5,0,,
21,105992.2,0,,
22,118309.3,0,,
23,111709,0,,
24,123456.8,0,,
25,112119.4,0,,
26,123206.6,0,,
27,116285,0,,
28,128768,0,,
29,122960.9,0,,
30,134932.2,0,,
31,85137.2,0,,
32,69942.2,0,,
33,28805,2905.3,,
34,16584,866.2,,
35,13420.9,5933.1,,
36,12039.2,19080.2,,
37,13451.4,26476.2,,
38,6834.8,30799.1,,
39,5302,26405.5,,
40,5442.3,18156.5,,
41,8016,12340.2,,
42,14265.2,13489.7,,
43,23005.2,95.5,,
44,27464.1,0,,
45,35365.1,0,,
46,38508.1,0,,
47,79728.3,0,,
48,99608.8,0,,
49,98796.6,0,,
50,109164.9,0,,
51,104049.2,0,,
52,113743.7,0,,
53,107579.8,0,,
54,116250.8,0,,
55,69978.5,0,,
56,56357.1,0,,
57,28936.3,5147.5,,
58,13600.9,4976.2,,
59,10016.6,4966.9,,
60,9463.5,7329.4,,
61,11583,9978.5,,
62,6675.4,11229.2,,
63,7404.5,8981.8,,
64,9060,8849.5,,
65,11759.1,11400.9,,
66,16830,13396.4,,
67,23769.2,97.5,,
68,25771.8,0,,
69,31383.3,0,,
70,33711.7,0,,
71,70283.4,0,,
72,89759.1,0,,
73,89214.2,0,,
74,98843.9,0,,
75,93554.1,0,,
76,103383.5,0,,
77,98708.8,0,,
78,108696.1,0,,
79,66450.9,0,,
80,54586.8,0,,
81,29938.1,5372.6,,
82,22871.9,4718,,
83,17056.6,4235.6,,
84,11815.6,6528.6,,
85,14238.7,9195.7,,
86,8699.7,10532.7,,
87,8561,8489,,
88,9706.7,8476.8,,
89,12444.2,11156,,
90,17347.2,13229.6,,
91,23892.3,90.1,,
92,25542.4,0,,
93,30882.8,0,,
94,32041.7,0,,
95,62445.1,0,,
96,76548.2,0,,
97,74471.1,0,,
98,83592.3,0,,
99,79413.8,0,,
100,87968.4,0,,
101,82746.4,0,,
102,90657.7,0,,
103,54463.5,0,,
104,44920.9,0,,
105,22693.6,5573.4,,
106,14504,5055.1,,
107,8082.9,4757.2,,
108,5369.1,7317.1,,
109,7162.9,10179.9,,
110,3058.2,11395.9,,
111,4507.2,9161.2,,
112,6166.7,9057.6,,
113,8082.2,11576.5,,
114,12981.1,13546.3,,
115,19811.2,104.8,,
116,21620.5,0,,
117,26975.6,0,,
118,28556,0,,
119,57657.5,0,,
120,72103.5,0,,
121,71384.1,0,,
122,81148.8,0,,
123,77949.4,0,,
124,86981.3,0,,
125,81983.9,0,,
126,89836.5,0,,
127,54813.4,0,,
128,45398.4,0,,
129,23519.1,5817,,
130,15714.7,5327.4,,
131,11145.9,4838,,
132,7969.3,7085.2,,
133,9496.9,9719.3,,
134,5093.2,11022.2,,
135,5478.3,8933.6,,
136,6412.2,8939.1,,
137,8418.4,11498.1,,
138,12696.6,13482.7,,
139,18794.5,102.1,,
140,20316.2,0,,
141,25435.7,0,,
142,28491.5,0,,
143,62162.7,0,,
144,83940.3,0,,
145,91082.5,0,,
146,105689,0,,
147,105948.8,0,,
148,119171.5,0,,
149,116582.3,0,,
150,128699.5,0,,
151,79914.1,0,,
152,68770,0,,
153,49557.4,0,,
154,36478.7,0,,
155,28326.5,0,,
156,25491.8,0,,
157,23993.5,1441.2,,
158,20318.4,3082.1,,
159,23372.6,39.7,,
160,27136,0,,
161,41784.5,0,,
162,54238.7,0,,
163,102215.8,0,,
164,128380.3,0,,
165,131080.4,0,,
166,146853.7,0,,
167,146194.7,0,,
168,161235.2,0,,
169,158601.6,0,,
170,171974.6,0,,
171,167675.3,0,,
172,181522.7,0,,
173,178154.8,0,,
174,192674.1,0,,
175,189098.9,0,,
176,201040.3,0,,
177,165026.3,0,,
178,139885.3,0,,
179,118708,0,,
180,126562.4,0,,
181,118646.8,0,,
182,116578.6,0,,
183,102614.2,0,,
184,113335.7,0,,
185,139753.6,0,,
186,172256.5,0,,
187,172808.6,0,,
188,189065.7,0,,
189,186865.4,0,,
190,202373.7,0,,
191,199499.5,0,,
192,214841.9,0,,
193,205735.8,0,,
194,216863.3,0,,
195,210969,0,,
196,222877.2,0,,
197,216623.3,0,,
198,227276.3,0,,
199,146214.7,0,,
200,114979.5,0,,
201,66144.9,2049.3,,
202,39658.9,1247.3,,
203,33164.8,1683,,
204,32743.3,7698.8,,
205,34979.7,9439.9,,
206,26665.1,8875.6,,
207,27572.2,6160.6,,
208,32502.6,6133,,
209,37143.1,8656.1,,
210,42550.3,11383,,
